章,問題文,日本語1,ラテン語1,日本語2,ラテン語2,日本語3,ラテン語3,日本語4,ラテン語4,日本語5,ラテン語5
§3,"側胸部で各肋間に相当して上下に並んで皮下に肋間神経の [ 1 ] が表れ、これに [ 2 ] の枝が伴行する",外側皮枝,r.cutaneus lateralis,肋間動静脈,a.et v.intercostalis,,,,,,
§3,"強靭な結合組織で構成され、大胸筋の表層に表れる [ 1 ] は鎖骨と胸骨の表層でその [ 2 ] に癒合している",胸筋筋膜,fascia pectoralis,骨膜,periosteum,,,,,,
§3,"上肢を [ 1 ] させると [ 2 ] がのぞき込め、この皮下組織を取り除く時に [ 3 ] を観察できる",外転,abduct,腋窩,axilla,腋窩リンパ節,lnn.axillares,,,,
§3,"暗褐色～淡褐色の卵円形の塊であるリンパ節は [ 1 ] によって隣同士イモヅル式につながっている",リンパ管,vasa lymphatica,,,,,,,,
§3,"腋窩リンパ節の周り一帯にある錯走した強靭な結合組織の線維が [ 1 ] であり胸筋筋膜と互いに一続きに移行する",腋窩筋膜,fascia axillaris,,,,,,,,
§3,"女性では乳房から腋窩に向かってリンパ節が点々と連なったルートが [ 1 ] の場合に癌細胞が腋窩リンパ節へ [ 2 ] する道として臨床的に大切である",乳癌,breast cancer,転移,metastase,,,,,,
§3,"腋窩の後縁を構成する [ 1 ] は薄くて 3～4mm の厚さにすぎないことが多い",広背筋,m.latissimus dorsi,,,,,,,,
§3,"腹部にて脂肪に富む皮下組織を除去すると胸部での胸筋筋膜に相当する強靭な膜状の結合組織である [ 1 ] が出てくる",浅腹筋膜,fascia abdominalis superficialis,,,,,,,,
§4,"数本の [ 1 ] が鎖骨を乗り越え [ 2 ] を貫いて胸から肩にかけて皮膚に分布する",鎖骨上神経,nn.supraclaviculares,広頚筋,platysma,,,,,,
§4,"[ 1 ] を剥ぎながら [ 2 ] を部出する",胸筋筋膜,fascia pectoralis,大胸筋,m.pectoralis major,,,,,,
§4,"[ 1 ] という細長い小筋が大胸筋の上に乗っている変異が見られることがある",胸骨筋,m.sternalis,,,,,,,,
§4,"胸骨筋の起始は普通 [ 1 ] または第 3～7 肋軟骨で、停止は多くは胸鎖乳突筋か胸筋筋膜である",腹直筋鞘,vagina m.recti abdominis,,,,,,,,
§4,"大胸筋は [ 1 ] (鎖骨から起こる)、 [ 2 ] (胸骨および肋骨から起こる)、 [ 3 ] (腹直筋鞘から起こる)の3つの部分から起こりそれらが外側方で集まって上腕骨へ向かう",鎖骨部,pars clavicularis,胸肋部,pars sternocostalis,腹部,pars abdominalis,,,,
§4,"大胸筋の上外側縁には [ 1 ] が隣接する",三角筋,m.deltoideus,,,,,,,,
§4,"大胸筋と三角筋の境の溝は [ 1 ] で、その中に [ 2 ] がある",三角胸筋溝,sulcus deltoideopectoralis,橈側皮静脈,v.cephalica,,,,,,
§4,"橈側皮静脈から血を採ることを [ 1 ] という",瀉血,bloodletting,,,,,,,,
§4,"腋窩の前縁を大胸筋が作り、後縁を [ 1 ] が形成する",広背筋,m.latissimus dorsi,,,,,,,,
§4,"広背筋の前縁と大胸筋の外側縁との間を弓状に走る結合組織の線維が [ 1 ] であり両筋を結ぶ",線維性腋窩弓,fibrous axillary arch,,,,,,,,
§4,"数％の頻度で広背筋と大胸筋の間に筋線維束である [ 1 ] が見られ、 [ 2 ] とも呼ばれる",筋性腋窩弓,muscular axillary arch,ランゲル筋,Langer muscle,,,,,,
§4,"側胸部において上位の各肋骨(第 1～8or9)から起こって上外側後方に向かう筋が [ 1 ] である",前鋸筋,m.serratus anterior,,,,,,,,
§4,"側胸部で [ 1 ] の起始とかみ合うようにして肋骨から起こり内側下方に走って腹部に達する筋が [ 2 ] である",前鋸筋,m.serratus anterior,外腹斜筋,m.obliquus externus abdominis,,,,,,
§4,"腹部にて外腹斜筋を剖出する時、 [ 1 ] は剥ぐが [ 2 ] は取り去らない",浅腹筋膜,fascia abdominalis superficialis,浅腹壁静脈,v.epigastrica superficialis,,,,,,
§4,"外腹斜筋は正中線から 4 横指位離れた所で板状の腱である [ 1 ] に移行し、ここから内側では浅腹筋膜が固く腱膜に癒着するので剥ぎにくくなる",腱膜,aponeurosis,,,,,,,,
§4,"外腹斜筋の腱膜は正中に近い所で [ 1 ] の [ 2 ] の一部となる",腹直筋鞘,vagina m.recti abdominis,前葉,lamina anterior,,,,,,
§5,"複数の神経のそれぞれの枝の間が複雑に吻合して「叢(くさむら)」のようになったものが [ 1 ] である",神経叢,nerve plexus,,,,,,,,
§5,"第1～4頚神経の前枝が吻合して形成されるのが [ 1 ] であり、具体的にその枝として鎖骨上神経・頚横神経・大耳介神経・小後頭神経が作られる",頚神経叢,plexus cervicalis,,,,,,,,
§5,"[ 1 ] を更に上の方へ薄くはがし下顎骨の下縁までめくり返すと 7 つの構造を観察できる",広頚筋,platysma,,,,,,,,
§5,"【広頚筋の下層(1)】 一部が広頚筋を貫いている皮神経が [ 1 ] である",鎖骨上神経,nn.supraclaviculares,,,,,,,,
§5,"【広頚筋の下層(2)】 変異に富むため図譜と違うことの多い前頚部を縦に走る皮静脈が [ 1 ] である",前頚静脈,v.jugularis anterior,,,,,,,,
§5,"【広頚筋の下層(3)】 [ 1 ] を斜めに横切って側頚部を縦に走る [ 2 ] は前頚静脈と吻合することが多い",胸鎖乳突筋,m.sternocleidomastoideus,外頚静脈,v.jugularis externa,,,,,,
§5,"【広頚筋の下層(3)'】 [ 1 ] は胸鎖乳突筋のほぼ中央を横切って前走、前頚部の皮膚に分布する",頚横神経,n.transversus colli,,,,,,,,
§5,"【広頚筋の下層(4)】 外頚静脈に沿って何個か存在するリンパ節が [ 1 ] である",浅頚リンパ節,lnn.cervicales superficiales,,,,,,,,
§5,"【広頚筋の下層(5)】 胸鎖乳突筋を斜めに横切って上行し、耳介の付近の皮膚に分布するのが [ 1 ] である",大耳介神経,n.auricularis magnus,,,,,,,,
§5,"【広頚筋の下層(6)】 胸鎖乳突筋の後縁から皮下に現れる頚神経叢の枝として [ 1 ] がある",小後頭神経,n.occipitalis minor,,,,,,,,
§5,"【広頚筋の下層(7)】 下顎角のやや下で弓形に走って広頚筋の裏側から広頚筋に分布する [ 1 ] は皮神経ではないがしばしば頚横神経と吻合している",顔面神経の頚枝,r.colli n.facialis,,,,,,,,
§5,"顔面神経の頚枝を元の方に辿るとそれが黄褐色をした [ 1 ] を貫いて出ている",耳下腺,gl.parotis,,,,,,,,
§5,"耳下腺の後縁に沿って [ 1 ] が上行している",大耳介神経,n.auricularis magnus,,,,,,,,
§5,"下顎角に近い下顎骨下縁の下内側方に結合組織の膜に包まれた [ 1 ] という腺独特の黄褐色の細かい小葉に分かれた外観を呈する唾液腺の一つがあり、その付近には [ 2 ] がある",顎下腺,gl.submandibularis,顎下リンパ節,lnn.submandibulares,,,,,,
§5,"[ 1 ] の後縁では頚神経叢の枝である鎖骨上神経・頚横神経・大耳介神経が出てくる所を確認できる",胸鎖乳突筋,m.sternocleidomastoideus,,,,,,,,
§5,"胸鎖乳突筋の起始は胸骨と鎖骨で、停止は外耳孔後方の [ 1 ] だけでなく後頭骨にも達する",乳様突起,proc.mastoideus,,,,,,,,
§5,"片方の胸鎖乳突筋が先天的に短い場合や出産時の外傷等により瘢痕化して短縮すると、頭は病側へ傾くと共に健側に捻れたままの状態の [ 1 ] になる",斜頚,torticollis,,,,,,,,
§5,"胸鎖乳突筋の後縁に沿ってやや深部をのぼると後頭部の皮膚に向かう頚神経叢の枝の一つである [ 1 ] を部出できる",小後頭神経,n.occipitalis minor,,,,,,,,
§5,"鎖骨の外側端近くの上の方で [ 1 ] の前縁を部出され、鎖骨の上約 2 横指でこれと交叉するのが 第 [ 2 ] 脳神経である [ 3 ] である",僧帽筋,m.trapezius,11,,副神経,n.accessorius,,,,
§5,"僧帽筋を支配する神経としては副神経のほかに [ 1 ] の枝も存在する",頚神経叢,plexus cervicalis,,,,,,,,
§6,"背中の皮切りは遺体を [ 1 ] ( [ 2 ] ) にする",腹臥位,prone position,うつぶせ,,,,,,,
§6,"後頭部の正中付近には [ 1 ] が突出している",外後頭隆起,protuberantia occipitalis externa,,,,,,,,
§6,"各椎骨の [ 1 ] は胸椎と腰椎のものは比較的よく触れられるが上位頚椎のものは触れにくいが( [ 2 ] (第 [ 3 ] 頚椎))のものはよく触れられる",棘突起,proc.spinosus,隆椎,vertebra prominens,7,,,,,
§6,"[ 1 ] の上縁に近い [ 2 ] という稜線を外側に辿ると [ 3 ] に達する",肩甲骨,scapula,肩甲棘,spina scapulae,肩峰,acromion,,,,
§6,"腸骨の上縁で上の方に大きな凸弧をえがくのが [ 1 ] である",腸骨稜,crista iliaca,,,,,,,,
§6,"老人や長患いで死亡した遺体では、特に [ 1 ] の辺りの皮膚に [ 2 ] ( [ 3 ] ) という圧迫性壊死が見られることがある",仙骨,os sacrum,床ずれ,decubitus,褥瘡,bedsore,,,,
§6,"( [ 1 ] ( [ 2 ] ) ) とはいわゆる｢むくみ｣のことである",浮腫,edema,水腫,,,,,,,
§6,"[ 1 ] の所で皮下に現れて殿部の方に分布する数本の神経(L1～L3 の後枝)は [ 2 ] と呼ばれる",腸骨稜,crista iliaca,上殿皮神経,nn.clunium superiores,,,,,,
§6,"後頚部(うなじ)の皮膚を剥ぐ時は、 [ 1 ] が外後頭隆起の付近から頚椎の棘突起に向かって走り、それが真皮とも強く結合していることを意識する",項靭帯,lig.nuchae,,,,,,,,
§6,"外耳孔と外後頭隆起を結んだ線上で、この隆起から約 2cm 外側に [ 1 ] を部出する",後頭動静脈,a.et v.occipitalis,,,,,,,,
§6,"後頭動静脈を目印に硬い皮下組織の中から掘り出される [ 1 ] は深部では僧帽筋の起始腱を貫いてから皮下に出て、この枝が扇状に後頭部の皮膚に分布する",大後頭神経,n.occipitalis major,,,,,,,,
§6,"胸鎖乳突筋の後縁に沿って上行する [ 1 ] の末梢は耳介の後ろ外側の皮膚である",小後頭神経,n.occipitalis minor,,,,,,,,
§6,"頚椎の変形や筋膜などで大後頭神経が圧迫されてことによって起こる後頭部の痛みや痺れを [ 1 ] といい、この時に外後頭隆起の外側 2～3cm の部位にある大後頭神経の圧痛点を圧迫すると、同側の三叉神経第 1 枝(眼神経)の領域にも痛みが放散して、めまい・悪心・嘔吐・眼精疲労などを伴う [ 2 ] が起こることがある",後頭神経痛,occipital neuralgia,大後頭三叉神経症候群,great occipital trigeminus syndrome,,,,,,
§7,"うなじの外側寄りで [ 1 ] の後縁に沿って結合組織を取り除く時、 [ 2 ] を傷つけないように注意する",胸鎖乳突筋,m.sternocleidomastoideus,小後頭神経,n.occipitalis minor,,,,,,
§7,"胸鎖乳突筋の後頭骨への停止の内側で、後頭骨と全頚椎・全胸椎の棘突起にわたり起始する大きな筋が [ 1 ] で、起始腱は第 7 頚椎(隆椎)の棘突起を中心とする菱形ないし卵円形の [ 2 ] を作る",僧帽筋,m.trapezius,腱鏡,Sehnenspiegel,,,,,,
§7,"僧帽筋と胸鎖乳突筋は発生学的には同じ原基に由来する兄弟のようなものであり、両筋共頚神経叢の枝と副神経とで二重に支配されているがこの意味として、頚神経叢からの枝は [ 1 ] の知覚性線維を運び、 [ 2 ] は副神経だけを介して両筋に到達するとも言われる",固有受容性,proprioceptive,運動性線維,motor fibers,,,,,,
§7,"僧帽筋と胸鎖乳突筋に挟まれた場所や僧帽筋の鎖骨や肩峰へ停止する部分の間の下層に [ 1 ] と [ 2 ] がある",副神経,n.accessorius,頚横動脈,a.transversa colli,,,,,,
§7,"上部が僧帽筋で覆われており、第(7)8～12 胸椎棘突起、全腰椎突起、仙骨、腸骨稜から強大な腱膜が起こる三角形の平たい大きな筋が [ 1 ] である",広背筋,m.latissimus dorsi,,,,,,,,
§7,"広背筋は [ 1 ] の小結節稜に停止し、 [ 2 ] は大結節稜に停止する",上腕骨,humerus,大胸筋,m.pectoralis minor,,,,,,
§7,"僧帽筋の下外側縁と肩甲骨の内側縁と後背筋の上縁とで形成される三角形は [ 1 ] と呼ばれ、両腕を深く組むと [ 2 ] しやすい",聴診三角,triangle of auscultation,聴診,auscultation,,,,,,
§7,"聴診三角の肩甲骨寄りの所に [ 1 ] の肩甲骨への停止の一部が見える",大菱形筋,m.rhomboideus major,,,,,,,,
§7,"[ 1 ] は [ 2 ] に停止する",外腹斜筋,m.obliquus externus abdominis,腸骨稜,crista iliaca,,,,,,
§7,"腸骨稜・広背筋・外腹斜筋の三者によって囲まれた三角形は、 [ 1 ] と呼ばれ、稀に [ 2 ] が起こる場所である",腰三角形,trigonum lumbale,腰ヘルニア,lumbar hernia,,,,,,
§8,"[ 1 ] を筋腹で切断し、その上の方の断面を、 [ 2 ] 、 [ 3 ] 、 [ 4 ] の裏をくぐらせて上にめくり返して下の方の断端を起始の所まで十分に下にめくり返すとこの筋の下層の解剖が容易になり、この筋の裏側からこれに分布する [ 5 ] と頚神経叢の枝がここで十分観察できる。副神経は胸鎖乳突筋を貫通していることがしばしばある",胸鎖乳突筋,m.sternocleidomastoideus,外頚静脈,v.jugularis externa,大耳介神経,n.auricularis magnus,頚横神経,n.transversus colli,副神経,n.accessorius
§8,"[ 1 ] から肩甲骨の [ 2 ] の根元に向かって斜めに走る細長い筋が [ 3 ] で貧弱な筋ゆえ注意しないと傷つける恐れがある",舌骨,os hyoideum,烏口突起,proc.coracoideus,肩甲舌骨筋,m.omohyoideus,,,,
§8,"筋膜( [ 1 ] )の中には [ 2 ] の枝が埋まっている",中頚筋膜,fascia colli media ,頚神経叢,plexus cervicalis,,,,,,
§8,"[ 1 ] は主に胸部の上縁(胸骨・肩甲骨・甲状軟骨)から起こって舌骨(と甲状軟骨)に停止する筋群で、 胸骨舌骨筋・胸骨甲状筋・甲状舌骨筋・肩甲舌骨筋の４対が存在し、舌骨上筋群と協力しながら舌骨を中継基地として咀嚼の時に下顎骨を引き下げる働きをする",舌骨下筋群,infrahyoid muscles or strap muscles,,,,,,,,
§8,"舌骨と胸骨を結ぶ筋が [ 1 ] であり、この筋の外側には [ 2 ] と [ 3 ] が上下に連なって見え、この３筋には外側縁から支配神経が入っており、この３筋と肩甲舌骨筋(すなわち舌骨下筋群)の支配神経をそれぞれ元の方に辿ると [ 4 ] に達する",胸骨舌骨筋,m.sternohyoideus,胸骨甲状筋,m.sternothyreoideus ,甲状舌骨筋,m.thyreohyoideus,頚神経ワナ,ansa cervicalis,,
§8,"頚神経ワナには [ 1 ] と [ 2 ] という２本の脚があり、前者は第２・第３頚神経前枝に源を発し、後者は上行して [ 3 ] に連絡する",下根,rasix inferior,上根,radix superior,舌下神経,n.hypoglossus,,,,
§8,"舌骨下筋群の外側に沿って下行するのが [ 1 ] ",上甲状腺動脈,a.thyreoidea superior,,,,,,,,
§8,"胸骨舌骨筋よりも外側方で中頚筋膜を取り除き、共通の鞘( [ 1 ] )で包まれている [ 2 ] と [ 3 ] を露出させる",頚動脈鞘,carotid sheath,内頚静脈,v.jugularis interna,総頚動脈,a.carotis communis,,,,
§8,"内頚静脈に沿って何個か見られるリンパ節を [ 1 ] という",深頚リンパ節,lnn.cervicales profundi,,,,,,,,
§8,"総頚動脈をずっと上まで辿ると [ 1 ] と [ 2 ] の二つに分岐し、後者からはすぐに甲状腺へ行くために下行する１本の枝が出ており、この枝が [ 3 ] ",内頚動脈,a.carotis interna,外頚動脈,a.carotis externa,上甲状腺動脈,a.thyreoidea superior,,,,
§8,"総頚動脈と共通の結合組織の鞘に包まれて、その後ろ外側縁を下行する太い神経が [ 1 ] ",迷走神経,n.vagus,,,,,,,,
§8,"[ 1 ] の外側で更に深部に [ 2 ] があり、これは第 3～6 頚椎の [ 3 ] から起こり、第一肋骨に停止する",内頚静脈,v.jugularis interna,前斜角筋,m.scalenus anterior,横突起,proc.transversus,,,,
§8,"前斜角筋の前面を上外側方から下内側方に斜めに走る神経が [ 1 ] であり、これは頚神経叢の下半に源を発し、 [ 2 ] まで達している",横隔神経,n.phrenicus,横隔膜,diaphragma,,,,,,
§8,"前斜角筋を目標にして横隔神経を見出して局所麻酔薬等で 遮断 block すれば片側の横隔膜の運動を止めることができ、横隔神経が異常に興奮すると [ 1 ] が起こる",しゃっくり,singultus,,,,,,,,
§9,"[ 1 ] の [ 2 ] (鎖骨から起こる部分)だけを切断して、その裏側から [ 3 ] や [ 4 ] の一部などが観察できる",大胸筋,m.pectoralis major,鎖骨部,pars clavicularis,鎖骨下筋,m.subclavius,小胸筋,m.pectoralis minor,,
§9,"大胸筋に分布する血管が [ 1 ] の枝であり、支配神経が [ 2 ] である",胸肩峰動静脈,a.et v.thoracoacromialis,内側・外側胸筋神経,n.pectoralis medialis et lateralis,,,,,,
§9,"大胸筋の裏には [ 1 ] と呼ばれる結合組織があり、この筋膜は鎖骨下縁から起こり [ 2 ] に移行する",鎖骨胸筋筋膜,fascia clavipectoralis,腋窩筋膜,fascia axillaris,,,,,,
§9,"第 3～5 肋骨から起こり、斜めに上外側方に走って鎖骨の下に隠れ、肩甲骨の [ 1 ] に停止するのが [ 2 ] である",烏口突起,proc.coracoideus,小胸筋,m.pectoralis minor,,,,,,
§9,"鎖骨の裏側へ解剖を進めていくと、まず [ 1 ] 、次に [ 2 ] 、一番奥に [ 3 ] の一部が見えてくるため外科医はこの順序を VAN と覚えている",鎖骨下静脈,v.subclavia,鎖骨下動脈,a.subclavia,腕神経叢,plexus brachialis,,,,
§9,"鎖骨下動脈は第 1 肋骨外側縁よりも外側では [ 1 ] という名に変わる",腋窩動脈,a.axillaris,,,,,,,,
§9,"鎖骨の裏にへばり付くようにして [ 1 ] の一部である厚い筋膜をかぶっているのが [ 2 ] である",鎖骨胸筋筋膜,fascia clavipectoralis,鎖骨下筋,m.subclavius,,,,,,
§9,"わきのしたの解剖では、まず上肢を外転して [ 1 ] がよくのぞき込めるようにし、 [ 2 ] の残りと脂肪を除き去り、 [ 3 ] が腋窩の後縁を形成することを確認し、 [ 4 ] を上に辿り腋窩の中まで追求する",腋窩,axilla,腋窩筋膜,fascia axillaris,広背筋,m.latissimus dorsi,胸腹壁静脈,vv.thoracoepigastricae,,
§9,"[ 1 ] の時に遊離した癌細胞はリンパ管の中を流れて [ 2 ] にまずひっかかり最初の [ 3 ] を起こす場所であるため手術の時には乳腺だけでなく腋窩のリンパ節を一つ残らず取り除く [ 4 ] を行う",乳癌,breast cancer,腋窩リンパ節,lnn.axilliares,転移,metastasis,根治的リンパ節郭清,radical lymph node dissection,,
§9,"小胸筋の下外側縁に沿って下り、第 2～5 肋骨の高さに達する動脈が [ 1 ] で、これとほぼ並んで [ 2 ] に分布する [ 3 ] が見え、更に外側で [ 4 ] の前縁をめくり返すようにすると広背筋に分布する [ 5 ] を剖出できる",外側胸動脈,a.thoracica lateralis,前鋸筋,m.serratus anterior,長胸神経,n.thoracicus longus,広背筋,m.latissimus dorsi,胸背動脈・神経,a.et n.thoracodorsalis
§9,"第１または第３肋間神経の外側皮枝と吻合しながら腋窩の表層を通り上腕まで延びているのが [ 1 ] である",肋間上腕神経,n.intercostobrachialis,,,,,,,,
§9,"小胸筋を筋膜の中央で切断し、断面をめくり返しながら小胸筋に入る [ 1 ] の枝と [ 2 ] を観察できる。前者の幹からは更に [ 3 ] や [ 4 ] に向かう枝も出ており、後者を元の方に辿ると太い神経の束である [ 5 ] に達する",胸肩峰動静脈,a.et v.thoracoacromialis,胸筋神経,nn.pectorales,三角筋,m.deltoideus,肩峰,acromion,腕神経叢,plexus brachialis
§9,"側胸部の [ 1 ] を上の方に辿ると肩甲骨の背面に回る [ 2 ] という動脈に合流したのち、 [ 3 ] となって本幹の [ 4 ] に達する",胸背動脈,a.thoracodorsalis,肩甲回旋動脈,a.circumflexa scapulae,肩甲下動脈,a.subscapularis,腋窩動脈,a.axillaris,,
§9,"胸背動脈に伴行する [ 1 ] も更に上に辿ると [ 2 ] に達する",胸背神経,n.thoracodorsalis,腕神経叢,plexus brachialis,,,,,,
§9,"小胸筋の外側縁を下る [ 1 ] は、ふつうは [ 2 ] から分かれるが、 [ 3 ] の方から分岐していることもある",外側胸動脈,a.thoracica lateralis,腋窩動脈,a.axillaris,肩甲下動脈,a.subscapularis,,,,
§10,"頭蓋骨の大部分と同様に線維性骨化(膜性骨化)によって作られる特殊な骨が [ 1 ] である",鎖骨,clavicula,,,,,,,,
§10,"線維性骨化を行う骨の形成不全が起こり、鎖骨の欠損ないし骨化障害や頭蓋骨の変形の見られる優性遺伝の先天性疾患が [ 1 ] であり、クルーゾン病 Crouzon disease とも呼ぶ",鎖骨・頭蓋異骨症,cleidocranial dysostosis,,,,,,,,
§10,"上肢と体幹とを [ 1 ] を介して連結する唯一の関節が [ 2 ] ",関節円板,discus articularis,胸鎖関節,art.sternoclavicularis,,,,,,
§10,"鎖骨の切断面で [ 1 ] が観察できる",骨髄,medulla ossium,,,,,,,,
§10,"第 1 肋骨(および第 1 肋軟骨)から起こって鎖骨の下面に停止する小筋が [ 1 ] で、筋腹でこの筋を切断するとその奥に [ 2 ] と [ 3 ] が一層よく見えるようになる",鎖骨下筋,m.subclavius,鎖骨下動静脈,a.et v.subclavia,腕神経叢,plexus brachialis,,,,
§10,"[ 1 ] と [ 2 ] は共に [ 3 ] とその上方でやや深くにある [ 4 ] の上内側の間に割り込んでいる",前斜角筋,m.scalenus anterior,横隔神経,n.pharenicus,鎖骨下静脈,v.subclavia,鎖骨下動脈,a.subclavia,,
§10,"鎖骨下動静脈を外側方に辿ると、第 1 肋骨の外側縁で [ 1 ] と名前が変わり、腋窩に向かう",腋窩動静脈,a.et v.axillaris,,,,,,,,
§10,"鎖骨下静脈には上方から [ 1 ] が注入、この両者の合流部の名は [ 2 ] ",内頚静脈,v.jugularis interna,静脈角,jugulosubclavian angle,,,,,,
§10,"左側の静脈角には後ろ上方から [ 1 ] という太いリンパ管が流入し、また上方からは [ 2 ] が注ぎ込んでいる",胸管,ductus thoracicus,左頚リンパ本幹,truncus jugularis sinister,,,,,,
§10,"左上肢からのリンパを集める本幹を [ 1 ] という",左鎖骨下リンパ本幹,truncus subclavius sinister,,,,,,,,
§10,"左の静脈角の付近の密集しいているリンパ節が [ 1 ] であり、これらは [ 2 ] の下方への延長であり、また胸管とも連絡がある",ウィルヒョウリンパ節,Virchow node,深頚リンパ節,lnn.cervicales profundi,,,,,,
§10,"胃がんなどの 転移 metastasis を起こすと、ウィルヒョウリンパ節が腫れて左の [ 1 ] に腫瘤として触れられ、これを [ 2 ] という",鎖骨上窩,fossa supraclavicularis,トロアジエ徴候,Troisier sign,,,,,,
§10,"右側の静脈角の所には [ 1 ] のほか右気管支縦隔リンパ本幹、 [ 2 ] が静脈に流入している (以上三者を総称して右リンパ本幹ともいう)",右頚リンパ本幹,truncus jugularis dexter,右鎖骨下リンパ本幹,truncus subclavius dexter,,,,,,
